City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,portland,90,US,1565140061,82,43.66,-70.25,71.01,6.93
1,hermanus,47,ZA,1565139919,85,-34.42,19.24,53.01,5.01
2,shahpura,100,IN,1565140220,85,25.63,74.93,78.55,7.38
3,tombouctou,100,ML,1565140208,60,16.77,-3.01,84.89,2.44
4,lexington,1,US,1565140122,61,38.05,-84.5,82.4,10.29
5,busselton,61,AU,1565139887,69,-33.64,115.35,46.99,18.45
6,portel,15,BR,1565140037,80,-1.94,-50.82,75.62,1.63
7,new norfolk,40,AU,1565139938,67,-42.78,147.06,52.0,19.46
8,rikitea,83,PF,1565139909,64,-23.12,-134.97,71.01,9.6
9,vaini,75,IN,1565140116,94,15.34,74.49,71.6,13.87
10,mataura,100,NZ,1565139913,75,-46.19,168.86,51.01,3.0
11,norman wells,90,CA,1565140049,51,65.28,-126.83,60.8,2.24
12,dikson,98,RU,1565139874,100,73.51,80.55,40.25,6.24
13,upernavik,0,GL,1565140068,81,72.79,-56.15,43.23,4.76
14,ushuaia,90,AR,1565139901,86,-54.81,-68.31,28.4,17.22
15,kavieng,98,PG,1565139908,80,-2.57,150.8,81.66,10.56
16,saskylakh,100,RU,1565139949,88,71.97,114.09,59.56,12.21
17,wadi maliz,40,TN,1565140239,26,36.47,8.55,91.4,18.34
18,kapaa,40,US,1565139892,70,22.08,-159.32,87.8,11.41
19,ketchikan,1,US,1565139977,72,55.34,-131.65,68.0,16.11
20,klaksvik,100,FO,1565140243,81,62.23,-6.59,51.8,8.05
21,srandakan,96,ID,1565140244,81,-7.94,110.25,70.88,4.92
22,hasaki,75,JP,1565140001,70,35.73,140.83,90.0,6.93
23,thompson,75,CA,1565139930,77,55.74,-97.86,59.0,10.29
24,san patricio,0,PY,1565139953,80,-26.98,-56.83,63.45,6.35
25,valle de allende,42,MX,1565140250,27,26.94,-105.39,85.79,4.34
26,bluff,43,AU,1565139950,60,-23.58,149.07,67.89,6.22
27,bambous virieux,75,MU,1565140252,94,-20.34,57.76,69.01,6.13
28,maragogi,0,BR,1565140254,91,-9.01,-35.22,68.22,4.76
29,lazurne,4,UA,1565140255,53,46.77,34.99,62.48,4.18
30,port alfred,2,ZA,1565139866,64,-33.59,26.89,60.01,5.01
31,chokurdakh,0,RU,1565140215,48,70.62,147.9,59.18,4.36
32,ponta delgada,75,PT,1565140259,94,37.73,-25.67,73.4,14.99
33,fremont,1,US,1565140261,60,37.55,-121.99,84.99,16.11
34,hobart,40,AU,1565139938,67,-42.88,147.33,52.0,19.46
35,geraldton,75,CA,1565140264,56,49.72,-86.95,71.6,13.87
36,ngorongoro,27,TZ,1565140265,71,-3.24,35.49,63.09,17.36
37,puerto ayora,75,EC,1565139893,73,-0.74,-90.35,73.4,17.22
38,pacific grove,90,US,1565140260,77,36.62,-121.92,84.0,8.05
39,atuona,0,PF,1565139980,75,-9.8,-139.03,79.7,19.24
40,banamba,100,ML,1565140270,91,13.55,-7.45,73.13,2.13
41,brasilia de minas,49,BR,1565140271,77,-16.21,-44.43,64.44,7.72
42,porirua,85,NZ,1565140272,62,-41.14,174.84,54.0,17.22
43,montebelluna,100,IT,1565140273,94,45.78,12.05,71.01,4.7
44,sorong,67,ID,1565140275,80,-0.86,131.25,79.59,5.14
45,avarua,99,CK,1565139719,73,-21.21,-159.78,75.2,11.41
46,bredasdorp,56,ZA,1565139959,93,-34.53,20.04,42.8,3.36
47,arraial do cabo,67,BR,1565139702,84,-22.97,-42.02,68.74,22.01
48,port elizabeth,1,US,1565140036,83,39.31,-74.98,78.8,5.3
49,tasiilaq,91,GL,1565139879,75,65.61,-37.64,44.6,5.82
50,punta arenas,20,CL,1565139897,86,-53.16,-70.91,32.0,26.4
51,poum,0,MK,1565140283,60,41.28,20.71,57.78,1.95
52,jiexiu,0,CN,1565140284,61,37.02,111.92,72.72,0.87
53,lagoa,0,PT,1565140158,73,37.14,-8.45,72.0,3.36
54,qaanaaq,72,GL,1565139937,56,77.48,-69.36,45.12,3.02
55,tarko-sale,79,RU,1565140289,77,64.92,77.78,64.99,18.16
56,medina,0,SA,1565140238,18,24.47,39.61,91.4,9.17
57,yellowknife,75,CA,1565140037,71,62.45,-114.38,55.4,12.75
58,surt,0,LY,1565140293,66,31.21,16.59,80.19,8.05
59,vila franca do campo,75,PT,1565140059,94,37.72,-25.43,73.4,14.99
60,castro,40,CL,1565140052,100,-42.48,-73.76,37.4,4.97
61,sitka,43,US,1565140296,25,37.17,-99.65,97.07,10.85
62,sao filipe,24,CV,1565140195,80,14.9,-24.5,73.92,14.99
63,lebu,75,ET,1565139882,87,8.96,38.73,55.4,2.24
64,luanda,75,AO,1565139982,100,-8.83,13.24,68.0,8.3
65,kutno,20,PL,1565140301,88,52.23,19.36,66.99,4.9
66,albany,75,US,1565140302,83,42.65,-73.75,73.99,4.7
67,sioux lookout,90,CA,1565140108,60,50.1,-91.92,73.4,6.93
68,mar del plata,0,AR,1565139792,42,-46.43,-67.52,40.77,23.31
69,bethel,90,US,1565139906,93,60.79,-161.76,60.8,17.22
70,kaitangata,100,NZ,1565139928,65,-46.28,169.85,50.0,5.99
71,severo-kurilsk,100,RU,1565139868,98,50.68,156.12,49.08,20.36
72,yulara,0,AU,1565140310,29,-25.24,130.99,60.8,10.29
73,mount gambier,100,AU,1565140208,81,-37.83,140.78,50.0,5.82
74,nome,20,US,1565140160,70,30.04,-94.42,88.0,8.05
75,jamestown,65,AU,1565139889,51,-33.21,138.6,56.68,5.7
76,karratha,0,AU,1565140315,34,-20.74,116.85,66.85,18.57
77,carnarvon,0,ZA,1565139998,26,-30.97,22.13,47.39,10.6
78,barrow,0,AR,1565139947,54,-38.31,-60.23,46.13,8.55
79,tyukhtet,85,RU,1565140318,86,56.54,89.31,63.09,3.27
80,hilo,1,US,1565139915,66,19.71,-155.08,86.0,18.34
81,amparafaravola,27,MG,1565140321,97,-17.68,48.22,51.39,4.21
82,isangel,75,VU,1565140322,65,-19.55,169.27,82.4,13.87
83,turtas,50,RU,1565140324,92,58.94,69.13,51.03,8.52
84,saint-philippe,90,CA,1565140165,73,45.36,-73.48,77.0,3.36
85,cabo san lucas,20,MX,1565140086,35,22.89,-109.91,95.0,14.99
86,hithadhoo,99,MV,1565139895,73,-0.6,73.08,83.48,9.28
87,buala,92,SB,1565140329,77,-8.15,159.59,81.65,5.5
88,fort nelson,40,CA,1565139933,52,58.81,-122.69,68.0,6.93
89,nikolskoye,2,RU,1565140332,100,59.7,30.79,44.6,4.47
90,soyo,54,AO,1565140333,92,-6.13,12.37,71.19,7.94
91,okakarara,0,NA,1565140336,30,-20.59,17.46,53.87,5.46
92,lorengau,24,PG,1565140025,79,-2.02,147.27,81.83,5.53
93,belmonte,100,PT,1565140339,87,40.36,-7.35,73.99,3.0
94,santiago de cao,90,PE,1565140340,87,-7.96,-79.24,60.8,10.29
95,virginia beach,40,US,1565140224,78,36.85,-75.98,82.4,5.82
96,kununurra,6,AU,1565140344,37,-15.77,128.74,82.4,11.41
97,katsuura,75,JP,1565140346,88,33.93,134.5,89.01,13.87
98,bani,100,YE,1565140347,74,16.02,42.93,81.61,7.36
99,port keats,0,AU,1565140349,60,-14.25,129.55,77.2,4.09
100,qaqortoq,100,GL,1565140350,76,60.72,-46.03,48.2,4.7
101,majene,88,ID,1565140347,83,-3.54,118.97,78.03,21.74
102,tuktoyaktuk,90,CA,1565139881,86,69.44,-133.03,41.0,16.11
103,havelock,20,US,1565140107,78,34.88,-76.9,82.0,5.82
104,georgetown,20,GY,1565140257,78,6.8,-58.16,82.4,4.7
105,garden city,1,US,1565140359,12,43.62,-116.24,99.0,12.75
106,hazro,0,TR,1565140360,48,38.25,40.78,77.0,2.24
107,rawson,28,AR,1565140364,42,-43.3,-65.11,46.33,18.59
108,tongren,68,CN,1565140367,85,27.72,109.18,77.0,1.01
109,westport,1,US,1565140180,88,41.14,-73.36,75.2,3.36
110,belozerskoye,0,RU,1565140370,83,55.82,65.58,48.92,6.87
111,turochak,73,RU,1565140372,96,52.26,87.12,58.77,2.62
112,narasannapeta,100,IN,1565140375,96,18.42,84.04,75.67,18.45
113,pevek,100,RU,1565139920,99,69.7,170.27,40.64,2.04
114,palmer,75,AU,1565140379,93,-34.85,139.16,55.0,4.7
115,aklavik,90,CA,1565139891,87,68.22,-135.01,42.8,11.41
116,butaritari,97,KI,1565140136,69,3.07,172.79,85.44,10.89
117,maniitsoq,100,GL,1565140147,93,65.42,-52.9,41.27,7.67
118,haverfordwest,36,GB,1565140384,88,51.8,-4.97,64.0,21.92
119,mercedes,0,UY,1565140385,82,-33.25,-58.03,60.01,3.0
120,puerto leguizamo,67,CO,1565140388,67,-0.19,-74.78,74.0,2.15
121,makakilo city,90,US,1565140389,88,21.35,-158.09,88.0,8.05
122,grand-lahou,88,CI,1565140390,88,5.24,-5.0,73.15,5.48
123,mahebourg,75,MU,1565140023,94,-20.41,57.7,69.01,6.13
124,am timan,100,TD,1565140393,94,11.04,20.28,72.32,4.12
125,east london,4,ZA,1565140058,42,-33.02,27.91,53.28,4.52
126,pombas,84,BR,1565140398,41,-15.9,-54.74,75.08,2.98
127,te anau,100,NZ,1565140175,82,-45.41,167.72,43.13,7.11
128,cartagena,20,ES,1565140400,73,37.63,-1.0,80.01,2.84
129,juneau,20,US,1565140401,56,58.3,-134.42,71.6,12.75
130,ossora,100,RU,1565140403,84,59.24,163.07,54.52,7.67
131,rio grande,0,BR,1565139750,95,-32.03,-52.1,55.99,4.18
132,kodiak,1,US,1565139873,65,39.95,-94.76,84.2,4.7
133,cape town,75,ZA,1565139880,93,-33.93,18.42,55.99,9.17
134,ribeira grande,6,PT,1565139916,90,38.52,-28.7,74.1,17.87
135,hailar,100,CN,1565140409,95,49.2,119.7,58.12,17.05
136,college,90,US,1565140410,82,64.86,-147.8,69.8,5.82
137,barra patuca,86,HN,1565140412,81,15.8,-84.28,83.12,15.66
138,khasan,100,RU,1565140414,78,42.43,130.64,77.76,4.61
139,bubaque,100,GW,1565140115,80,11.28,-15.83,78.33,15.01
140,samarai,100,PG,1565140042,94,-10.62,150.67,76.35,6.89
141,darab,9,IR,1565140417,25,28.75,54.55,70.27,2.71
142,katangli,0,RU,1565140419,57,51.71,143.23,68.09,9.48
143,jutai,19,BR,1565140420,98,-1.71,-47.89,71.46,2.86
144,berlevag,100,NO,1565140053,89,70.86,29.09,43.59,12.41
145,hutchinson,75,US,1565140364,66,38.06,-97.93,86.0,5.82
146,kruisfontein,41,ZA,1565140423,47,-34.0,24.73,54.36,7.52
147,salalah,90,OM,1565140425,100,17.01,54.1,77.0,5.82
148,gornopravdinsk,81,RU,1565140427,92,60.06,69.92,52.79,7.25
149,yongan,46,CN,1565140428,61,39.7,113.69,71.89,3.38
150,dingle,100,PH,1565140029,85,11.0,122.67,78.35,14.72
151,leh,7,IN,1565140431,54,34.16,77.58,44.58,2.93
152,sinnamary,1,GF,1565140087,77,5.38,-52.96,82.13,15.3
153,barillas,96,ES,1565140436,73,41.97,-1.66,73.4,20.8
154,bathsheba,40,BB,1565140437,83,13.22,-59.52,80.6,5.82
155,tiksi,88,RU,1565139899,80,71.64,128.87,46.6,13.85
156,plettenberg bay,35,ZA,1565140439,51,-34.05,23.37,56.81,5.26
157,gat,68,SN,1565140179,78,14.69,-16.54,78.8,4.7
158,hargeysa,88,SO,1565140442,44,9.56,44.06,73.33,15.5
159,bereznik,98,RU,1565140446,98,62.86,42.71,44.57,8.01
160,airai,4,TL,1565139869,57,-8.93,125.41,78.26,0.72
161,belle fourche,1,US,1565140449,42,44.67,-103.85,84.99,4.7
162,nemuro,75,JP,1565140451,94,43.32,145.57,69.8,2.24
163,aguas vermelhas,21,BR,1565140452,98,-15.75,-41.46,58.98,3.83
164,baghdad,0,IQ,1565140442,25,33.3,44.38,90.95,18.32
165,ahuimanu,90,US,1565140454,88,21.44,-157.84,88.0,8.05
166,bilibino,99,RU,1565140020,66,68.06,166.44,59.81,9.01
167,vardo,75,US,1565140457,88,39.62,-77.74,78.8,5.82
168,ilulissat,75,GL,1565140459,61,69.22,-51.1,46.4,2.24
169,zhigalovo,0,RU,1565140460,45,54.81,105.15,61.7,1.05
170,souillac,0,FR,1565140027,88,45.6,-0.6,71.01,4.7
171,ha tinh,46,VN,1565140463,87,18.33,105.9,80.06,1.88
172,chuy,17,UY,1565140199,88,-33.69,-53.46,61.41,10.29
173,chapais,90,CA,1565140465,82,49.78,-74.86,64.4,4.7
174,hofn,64,IS,1565140467,89,64.25,-15.21,36.79,7.2
175,ippy,100,CF,1565140468,97,6.26,21.2,69.57,4.12
176,faanui,0,PF,1565140469,76,-16.48,-151.75,78.77,12.44
177,northam,20,AU,1565140470,93,-31.65,116.67,48.2,3.36
178,fuyu,100,CN,1565140472,95,47.79,124.46,62.91,12.17
179,ponta do sol,6,BR,1565139972,80,-20.63,-46.0,61.59,6.15
180,pisco,40,PE,1565140204,87,-13.71,-76.2,60.8,10.29
181,emet,0,TR,1565140475,66,39.34,29.26,56.79,1.74
182,molde,100,NO,1565140477,87,62.74,7.16,57.0,9.17
183,fortuna,0,ES,1565140478,88,38.18,-1.13,80.01,1.66
184,kahului,40,US,1565139716,62,20.89,-156.47,87.8,13.87
185,vila velha,75,BR,1565140482,88,-3.71,-38.6,75.2,5.82
186,paamiut,100,GL,1565140051,96,61.99,-49.67,40.07,7.94
187,batagay-alyta,59,RU,1565140484,64,67.8,130.41,53.39,5.03
188,gigmoto,100,PH,1565140486,77,13.78,124.39,83.97,25.86
189,khatanga,97,RU,1565140107,85,71.98,102.47,56.39,26.24
190,sao joao da barra,84,BR,1565139973,92,-21.64,-41.05,63.74,1.77
191,autazes,61,BR,1565140490,63,-3.58,-59.13,78.5,1.77
192,atambua,0,ID,1565140491,75,-9.11,124.89,76.05,7.02
193,gamba,100,CN,1565140493,72,28.28,88.52,42.55,1.68
194,takoradi,80,GH,1565140495,94,4.89,-1.75,72.86,4.03
195,smidovich,100,RU,1565140496,83,48.6,133.81,64.08,6.46
196,nanortalik,100,GL,1565140101,95,60.14,-45.24,41.29,0.38
197,kargat,67,RU,1565140500,79,55.19,80.28,60.19,9.33
198,kosa,20,JP,1565140501,66,32.67,130.82,89.6,4.7
199,itarema,56,BR,1565140503,75,-2.92,-39.92,75.09,7.47
200,tautira,40,PF,1565140504,69,-17.73,-149.15,82.4,4.7
201,linxia,31,CN,1565140505,55,35.6,103.21,62.15,5.61
202,waddan,0,LY,1565139945,53,29.16,16.14,72.12,8.23
203,pec,90,DE,1565140508,100,49.4,12.83,66.0,3.36
204,carbonia,0,IT,1565140509,78,39.17,8.53,82.4,6.93
205,gbarnga,100,LR,1565140510,99,7.0,-9.47,69.51,3.24
206,ouidah,40,BJ,1565140511,94,6.37,2.09,77.0,11.41
207,aldan,58,RU,1565140514,54,58.61,125.39,66.63,4.07
208,filadelfia,0,PY,1565140515,38,-22.35,-60.04,70.02,7.76
209,torbay,5,CA,1565140516,82,47.66,-52.73,59.0,8.05
210,nouadhibou,0,MR,1565140518,83,20.93,-17.03,69.8,19.46
211,mount isa,60,AU,1565140519,22,-20.73,139.49,75.2,3.36
212,broadstairs,0,GB,1565140520,93,51.36,1.44,62.01,11.41
213,severodvinsk,40,RU,1565140523,93,64.56,39.82,46.4,4.47
214,ambilobe,9,MG,1565140524,74,-13.19,49.05,69.23,8.14
215,labuhan,100,ID,1565140525,75,-2.54,115.51,75.38,0.72
216,mangai,29,CD,1565140527,80,-4.07,19.59,73.29,1.68
217,houma,18,CN,1565140528,71,35.63,111.36,74.55,2.8
218,touros,75,BR,1565140529,94,-5.2,-35.46,73.4,11.41
219,cidreira,0,BR,1565140531,89,-30.17,-50.22,62.48,7.09
220,coquimbo,0,CL,1565140532,87,-29.95,-71.34,51.8,5.82
221,novo aripuana,44,BR,1565140533,62,-5.12,-60.38,78.39,2.04
222,dedza,21,MW,1565140534,47,-14.38,34.33,57.22,2.24
223,curitibanos,5,BR,1565140536,99,-27.29,-50.58,57.99,5.01
224,terney,100,RU,1565140537,88,45.05,136.61,64.22,4.74
225,loei,75,TH,1565140538,83,17.49,101.72,80.6,1.12
226,guerrero negro,93,MX,1565140539,89,27.97,-114.04,67.1,12.66
227,honiara,75,SB,1565140374,74,-9.43,159.96,84.2,3.36
228,henties bay,0,NA,1565140190,89,-22.12,14.28,55.99,4.0
229,champerico,90,MX,1565140543,88,16.38,-93.6,75.2,11.41
230,dondaicha,100,IN,1565140544,91,21.33,74.56,77.97,17.2
231,luderitz,0,NA,1565140154,100,-26.65,15.16,51.8,9.17
232,provideniya,40,RU,1565140019,81,64.42,-173.23,50.0,13.42
233,porto novo,0,BR,1565140159,72,-23.68,-45.44,66.2,3.36
234,bad laasphe,75,DE,1565140551,88,50.93,8.41,64.4,6.93
235,padang,100,ID,1565140097,80,-0.92,100.36,79.88,18.95
236,troitskoye,0,RU,1565140555,86,52.98,84.68,62.01,4.38
237,port-cartier,90,CA,1565140556,82,50.03,-66.88,61.0,8.05
238,mahajanga,0,MG,1565140558,56,-15.72,46.32,68.0,5.82
239,mecca,62,SA,1565140300,65,21.43,39.83,85.37,2.75
240,sakaraha,0,MG,1565140560,38,-22.91,44.53,65.09,2.48
241,sambava,2,MG,1565140561,87,-14.27,50.17,62.28,3.69
242,touho,40,NC,1565140563,67,-20.78,165.23,75.49,4.7
243,menongue,94,AO,1565140564,42,-14.66,17.68,64.31,2.82
244,savannah bight,53,HN,1565140565,79,16.45,-85.85,84.29,20.33
245,tura,42,RU,1565140288,77,64.27,100.22,61.83,2.46
246,waverly,1,US,1565140568,78,37.04,-77.1,84.2,5.64
247,constitucion,75,MX,1565140144,44,23.99,-104.67,75.2,9.17
248,brae,100,GB,1565140570,100,60.4,-1.35,55.4,1.12
249,obzor,0,BG,1565140571,77,42.82,27.88,69.01,2.19
250,los llanos de aridane,90,ES,1565140573,69,28.66,-17.92,75.2,12.75
251,hermiston,1,US,1565140574,12,45.84,-119.29,102.2,14.99
252,keflavik,0,IS,1565140391,100,64.0,-22.56,54.0,10.29
253,talnakh,0,RU,1565140070,82,69.49,88.39,57.2,8.95
254,korcula,0,HR,1565140578,82,42.96,17.14,66.2,1.12
255,craig,40,US,1565140579,29,40.52,-107.55,80.6,11.41
256,richards bay,6,ZA,1565140580,71,-28.77,32.06,69.42,12.75
257,vostok,100,RU,1565140581,98,46.45,135.83,68.33,0.89
258,almaznyy,20,RU,1565140583,82,48.03,40.04,55.4,2.1
259,kudahuvadhoo,100,MV,1565140584,77,2.67,72.89,83.07,11.95
260,tual,99,ID,1565140585,88,-5.67,132.75,77.22,16.24
261,paeroa,0,NZ,1565140588,68,-37.37,175.68,60.01,10.0
262,viransehir,0,TR,1565140589,19,37.24,39.76,74.43,9.08
263,laguna,40,BZ,1565140071,74,16.17,-88.94,86.0,4.7
264,sydney,0,AU,1565140535,31,-33.85,151.22,69.01,9.17
265,camacha,0,PT,1565140593,88,33.08,-16.33,71.6,6.93
266,rocha,0,UY,1565139926,94,-34.48,-54.34,58.05,7.85
267,progreso,0,UY,1565140595,72,-34.68,-56.22,66.0,13.94
268,itoman,75,JP,1565140596,88,26.12,127.67,82.4,16.11
269,rosarito,40,CO,1565140598,73,4.91,-75.23,78.8,2.24
270,port hawkesbury,1,CA,1565140599,56,45.62,-61.36,70.0,5.82
271,opuwo,32,NA,1565140603,29,-18.06,13.84,56.43,2.13
272,pangnirtung,87,CA,1565140604,65,66.15,-65.72,51.24,3.04
